part_id|fix_id|part_name|amazon_search_query
969|3293|Engine Oil Pressure Sensor (heavy-duty diesel)|https://www.amazon.com/s?k=Engine+Oil+Pressure+Sensor+heavy-duty+diesel
1036|3549|Ambient/barometric Pressure Sensor (heavy-duty diesel)|https://www.amazon.com/s?k=Ambient/barometric+Pressure+Sensor+heavy-duty+diesel
1101|3799|Engine Coolant Level Sensor|https://www.amazon.com/s?k=Engine+Coolant+Level+Sensor
1166|4047|Heavy-duty toggle / rocker switch (chassis or panel mount)|https://www.amazon.com/s?k=heavy+duty+truck+toggle+rocker+switch
1231|4300|Engine control unit / module (dealer-programmed)|
1306|4557|Fuel Injector (heavy-duty diesel, remanufactured or new)|https://www.amazon.com/s?k=Fuel+Injector+heavy-duty+diesel,+remanufactured+or+new
1371|4811|Turbocharger Wastegate/bypass Actuator (heavy-duty diesel)|https://www.amazon.com/s?k=Turbocharger+Wastegate/bypass+Actuator+heavy-duty+diesel
1451|5055|Fuel Rail (common Rail) Pressure Sensor (heavy-duty diesel)|https://www.amazon.com/s?k=Fuel+Rail+common+Rail+Pressure+Sensor+heavy-duty+diesel
1518|5302|Deutsch connector pin/terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit
1519|5301|OEM-proprietary sensor, actuator or gateway/bridge module (dealer part, no generic aftermarket equivalent)|
1587|5538|NOx sensor, upstream of SCR|https://www.amazon.com/s?k=nox+sensor+upstream+scr+heavy+duty+diesel
1654|5794|Engine control unit / module (dealer-programmed)|
1735|6032|5V/8V Sensor Supply Rail circuit relay/fuse|https://www.amazon.com/s?k=5V/8V+Sensor+Supply+Rail+circuit+relay/fuse
1800|6271|DEF tank heating valve|https://www.amazon.com/s?k=def+tank+heater+valve+heavy+duty
1877|6516|DEF line heater|https://www.amazon.com/s?k=def+line+heater+hose+heavy+duty
1942|6726|SCR catalyst temperature sensor|https://www.amazon.com/s?k=scr+catalyst+exhaust+temperature+sensor+diesel
2007|6950|Dashboard Warning Lamp Or Indicator replacement bulb/module|https://www.amazon.com/s?k=Dashboard+Warning+Lamp+Or+Indicator+replacement+bulb/module
2072|7187|DEF line heater|https://www.amazon.com/s?k=def+line+heater+hose+heavy+duty
2137|7418|DEF supply module pump|https://www.amazon.com/s?k=def+supply+module+pump+heavy+duty
2204|7675|Dashboard Warning Lamp Or Indicator replacement bulb/module|https://www.amazon.com/s?k=Dashboard+Warning+Lamp+Or+Indicator+replacement+bulb/module
2271|7913|Fuel Injector (heavy-duty diesel, remanufactured or new)|https://www.amazon.com/s?k=Fuel+Injector+heavy-duty+diesel,+remanufactured+or+new
2344|8163|NOx sensor, downstream of SCR|https://www.amazon.com/s?k=nox+sensor+downstream+scr+heavy+duty+diesel
2413|8413|Intake Or Charge-air Temperature Sensor (heavy-duty diesel)|https://www.amazon.com/s?k=Intake+Or+Charge-air+Temperature+Sensor+heavy-duty+diesel
2483|8654|Controller/module (dealer-programmed, part number by VIN/serial)|
2557|8888|Deutsch connector pin/terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit
2558|8890|OEM-proprietary sensor, actuator or gateway/bridge module (dealer part, no generic aftermarket equivalent)|
2655|9145|Deutsch connector pin/terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit
2656|9147|OEM-proprietary sensor, actuator or gateway/bridge module (dealer part, no generic aftermarket equivalent)|
2728|9386|Fuel Injector (heavy-duty diesel, remanufactured or new)|https://www.amazon.com/s?k=Fuel+Injector+heavy-duty+diesel,+remanufactured+or+new
2798|9633|DEF supply module pump|https://www.amazon.com/s?k=def+supply+module+pump+heavy+duty
2866|9873|Hydrocarbon (burner) doser|
2931|10126|NOx sensor, downstream of SCR|https://www.amazon.com/s?k=nox+sensor+downstream+scr+heavy+duty+diesel
3000|10364|Deutsch connector pin/terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit
3001|10366|OEM-proprietary sensor, actuator or gateway/bridge module (dealer part, no generic aftermarket equivalent)|
3066|10607|DEF pressure sensor|https://www.amazon.com/s?k=def+pressure+sensor+scr+heavy+duty
3134|10846|Deutsch connector pin/terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit
3135|10849|Heavy-duty J1939 handheld scan tool|https://www.amazon.com/s?k=heavy+duty+j1939+diesel+scan+tool
3244|11144|Weatherpack/Metripack connector pin repair kit|https://www.amazon.com/s?k=weatherpack+connector+terminal+repair+kit
3245|11147|Heavy-duty J1939 handheld scan tool|https://www.amazon.com/s?k=heavy+duty+j1939+diesel+scan+tool
3389|11421|Deutsch connector terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit+heavy+duty
3390|11422|Heavy-duty transmission countershaft speed sensor|https://www.amazon.com/s?k=heavy+duty+transmission+countershaft+speed+sensor
3493|11684|Deutsch connector pin/terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit
3494|11682|Heavy-duty J1939 handheld scan tool|https://www.amazon.com/s?k=heavy+duty+j1939+diesel+scan+tool
3611|11939|Eaton Endurant TECU (transmission control unit)|
3725|12243|Deutsch connector pin/terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit
3726|12242|Heavy-duty J1939 handheld scan tool|https://www.amazon.com/s?k=heavy+duty+j1939+diesel+scan+tool
3807|12490|Eaton Endurant TECU (transmission control unit)|
3919|12767|Deutsch connector terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit+heavy+duty
4042|13021|Deutsch connector terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit+heavy+duty
4043|13022|Eaton Endurant inertia brake solenoid|
4169|13286|Heavy-duty automotive relay, 12V/24V|https://www.amazon.com/s?k=heavy+duty+automotive+relay+12v+24v+truck
4283|13555|Deutsch connector terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit+heavy+duty
4284|13554|Heavy-duty PTO dash switch|https://www.amazon.com/s?k=heavy+duty+pto+dash+switch
4413|13847|Deutsch connector terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit+heavy+duty
4414|13846|Heavy-duty PTO air engagement solenoid|https://www.amazon.com/s?k=heavy+duty+pto+air+engagement+solenoid
4541|14150|Deutsch connector pin/terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit
4542|14149|Heavy-duty J1939 handheld scan tool|https://www.amazon.com/s?k=heavy+duty+j1939+diesel+scan+tool
4671|14437|Deutsch connector terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit+heavy+duty
4672|14439|Heavy-duty auxiliary transmission range switch|https://www.amazon.com/s?k=heavy+duty+truck+transmission+range+switch
4801|14715|Deutsch connector terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit+heavy+duty
4802|14714|Heavy-duty transmission shift rail position sensor|https://www.amazon.com/s?k=heavy+duty+transmission+shift+position+sensor
4931|14975|Deutsch connector terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit+heavy+duty
4932|14974|Heavy-duty transmission shift rail position sensor|https://www.amazon.com/s?k=heavy+duty+transmission+shift+position+sensor
5061|15233|Deutsch connector terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit+heavy+duty
5062|15235|Eaton Endurant clutch engage/release solenoid|
5191|15493|Deutsch connector terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit+heavy+duty
5192|15495|Eaton Endurant XY shifter module|
5321|15755|Deutsch connector terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit+heavy+duty
5322|15754|Eaton Endurant XY shifter module|
5451|16015|Deutsch connector terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit+heavy+duty
5452|16014|Eaton Endurant XY shifter module|
5575|16269|Deutsch connector terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit+heavy+duty
5576|16268|Heavy-duty transmission shift rail position sensor|https://www.amazon.com/s?k=heavy+duty+transmission+shift+position+sensor
5683|16505|Eaton Endurant TECU (transmission control unit)|
5748|16752|Eaton Endurant shift fork and synchronizer kit|
5824|17021|Deutsch connector terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit+heavy+duty
5825|17023|Heavy-duty rocker/toggle switch, sealed|https://www.amazon.com/s?k=heavy+duty+sealed+rocker+toggle+switch+truck+dash
5924|17330|Deutsch connector terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit+heavy+duty
5925|17329|Heavy-duty rocker/toggle switch, sealed|https://www.amazon.com/s?k=heavy+duty+sealed+rocker+toggle+switch+truck+dash
6043|17622|Deutsch connector pin/terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit
6044|17621|Heavy-duty J1939 handheld scan tool|https://www.amazon.com/s?k=heavy+duty+j1939+diesel+scan+tool
6114|17881|Intake Or Charge-air Temperature Sensor (heavy-duty diesel)|https://www.amazon.com/s?k=Intake+Or+Charge-air+Temperature+Sensor+heavy-duty+diesel
6179|18130|Heavy-duty battery (Group 31 or OEM spec)|https://www.amazon.com/s?k=Heavy-duty+battery+Group+31+or+OEM+spec
6246|18390|Fuel Injector (heavy-duty diesel, remanufactured or new)|https://www.amazon.com/s?k=Fuel+Injector+heavy-duty+diesel,+remanufactured+or+new
6317|18640|Engine control unit / module (dealer-programmed)|
6383|18878|EGR valve actuator|https://www.amazon.com/s?k=egr+valve+heavy+duty+diesel
6453|19141|HD ISO automotive relay (Bosch-style, 12V, appropriate amperage)|https://www.amazon.com/s?k=heavy+duty+iso+automotive+relay+12v
6518|19401|Wiper motor (heavy-duty truck cowl-mount)|https://www.amazon.com/s?k=heavy+duty+truck+wiper+motor
6586|19680|Load device varies by channel — inspect wiring diagram for the assigned function|
6651|19947|Heavy-duty toggle / rocker switch (chassis or panel mount)|https://www.amazon.com/s?k=heavy+duty+truck+toggle+rocker+switch
6716|20208|Dash indicator/telltale bulb or LED lamp (heavy-duty truck)|https://www.amazon.com/s?k=heavy+duty+truck+dash+indicator+telltale+bulb
6781|20463|Intake Or Charge-air Temperature Sensor (heavy-duty diesel)|https://www.amazon.com/s?k=Intake+Or+Charge-air+Temperature+Sensor+heavy-duty+diesel
6851|20717|Ignition Coil (heavy-duty diesel)|https://www.amazon.com/s?k=Ignition+Coil+heavy-duty+diesel
6923|20968|Aftertreatment lambda (O2) sensor|https://www.amazon.com/s?k=wideband+o2+lambda+sensor+heavy+duty
6988|21225|Bank Fuel-trim Monitor (heavy-duty diesel)|https://www.amazon.com/s?k=Bank+Fuel-trim+Monitor+heavy-duty+diesel
7053|21483|Ambient/barometric Pressure Sensor (heavy-duty diesel)|https://www.amazon.com/s?k=Ambient/barometric+Pressure+Sensor+heavy-duty+diesel
7118|21734|EGR cooler|https://www.amazon.com/s?k=egr+cooler+heavy+duty+diesel
7183|21965|Weatherpack/Deutsch connector pigtail repair kit|https://www.amazon.com/s?k=Weatherpack/Deutsch+connector+pigtail+repair+kit
7261|22210|Heavy-duty pneumatic solenoid valve (12V/24V)|https://www.amazon.com/s?k=heavy+duty+pneumatic+solenoid+valve+24v+truck
7385|22515|Heavy-duty wheel speed sensor|https://www.amazon.com/s?k=heavy+duty+truck+wheel+speed+sensor
7386|22516|Wheel speed sensor extension/pigtail harness|https://www.amazon.com/s?k=truck+wheel+speed+sensor+pigtail+harness
7515|22830|ABS tone (exciter) ring|https://www.amazon.com/s?k=truck+abs+tone+ring+exciter+ring
7516|22833|Matched heavy-duty truck tire|
7585|23086|Brake treadle valve position sensor|https://www.amazon.com/s?k=truck+brake+treadle+valve+sensor
7660|23342|ABS/ESC electronic control unit (dealer programmed)|
7781|23658|ABS tone (exciter) ring|https://www.amazon.com/s?k=truck+abs+tone+ring+exciter+ring
7782|23660|Matched heavy-duty truck tire|
7886|23957|ABS pressure modulator valve (WABCO/Bendix type)|https://www.amazon.com/s?k=truck+abs+pressure+modulator+valve
7951|24208|ABS/ESC electronic control unit (dealer programmed)|
8016|24405|Aftertreatment DCU|
8081|24629|Aftertreatment DCU power supply|
8146|24865|DEF supply module pump|https://www.amazon.com/s?k=def+supply+module+pump+heavy+duty
8215|25117|Fuel Injector (heavy-duty diesel, remanufactured or new)|https://www.amazon.com/s?k=Fuel+Injector+heavy-duty+diesel,+remanufactured+or+new
8286|25364|Deutsch connector pin/terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit
8287|25366|OEM-proprietary sensor, actuator or gateway/bridge module (dealer part, no generic aftermarket equivalent)|
