fault_id|spn|fmi|oem_make|oem_code|controller|short_description|fault_family|detailed_technical_explanation|source_id|source_url|source_page|source_doc
651|3349|0|Deutz|354 0|Aftertreatment DCU|TSC1 (torque/speed control) message receive timeout reads in-range but abnormally high|hdn_aftertreatment_dcu_link|SPN 3349 (TSC1 (torque/speed control) message receive timeout) with FMI 0 (Reading in-range but far too high) is set by the Aftertreatment DCU when a J1939 message the aftertreatment control system depends on -- a torque/speed command (TSC1), a NOx or urea-quality sensor reading, or the data-verification handshake with the engine ECU -- stops arriving at the expected rate or fails validation. Typical causes are the sending sensor or ECU losing power or ground, a connector or backbone fault between the DCU and the sending node, or the sending device itself faulting.|deutz_docdpf|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_MD1_DOC_DPF_DE_EN.pdf||DTC list MD1 DOC/DPF (2019)
716|27|4|Deutz|P1059 00|Engine ECU|EGR valve actuator position circuit voltage reads low (shorted to ground)|hda_egr_valve_actuator|SPN 27 (EGR valve actuator position) with FMI 4 (Circuit voltage low / short to ground) is set by the Engine ECU when the EGR valve actuator will not reach or hold a commanded position, reports an internal fault, loses calibration, or the motor coil circuit is open or shorted. Carbon buildup in the valve bore that increases actuator load is a leading mechanical cause behind an electrical-looking fault.|deutz_md1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_MD1_DE_EN.pdf||DTC list EMR5 / MD1 (2026-07-22)
781|51|11|Deutz|2063|Engine ECU|Throttle valve position sensor fault detected, cause undetermined|hde_throttle_position_sensor|SPN 51 (Throttle valve position sensor) with FMI 11 (Fault detected, cause undetermined) is set by the Engine ECU when the throttle position sensor signal is missing, out of range or implausible relative to the engine's other timing references. Typical causes are a failed sensor, an incorrect air gap, connector corrosion, chafed wiring, or damage to the toothed wheel the sensor reads.|deutz_emr4|https://serdia.deutz.com/fileadmin/contents/serdia/KWPList_EMR4_DE_EN.pdf||KWP list EMR4 (2026-06-10)
846|100|2|Deutz|732|Engine ECU|Engine oil pressure signal erratic, intermittent or implausible|hde_oil_pressure|SPN 100 (Engine oil pressure) with FMI 2 (Signal unstable, intermittent or implausible) is set by the Engine ECU when the engine oil pressure sensor signal leaves its plausible window or the sensor circuit reads open, shorted or erratic. Typical causes are a failed sensor, corroded connector pins, chafed harness wiring, or a genuine underlying system condition the sensor is correctly reporting.|deutz_emr4|https://serdia.deutz.com/fileadmin/contents/serdia/KWPList_EMR4_DE_EN.pdf||KWP list EMR4 (2026-06-10)
911|108|4|Deutz|409|Engine ECU|Barometric pressure sensor circuit reads low (shorted to ground)|hde_ambient_pressure_sensor|SPN 108 (Barometric pressure sensor) with FMI 4 (Circuit voltage low / short to ground) is set by the Engine ECU when the ambient/barometric pressure sensor signal leaves its plausible window or the sensor circuit reads open, shorted or erratic. Typical causes are a failed sensor, corroded connector pins, chafed harness wiring, or a genuine underlying system condition the sensor is correctly reporting.|deutz_emr4|https://serdia.deutz.com/fileadmin/contents/serdia/KWPList_EMR4_DE_EN.pdf||KWP list EMR4 (2026-06-10)
976|171|16|Deutz|P1099 00|Engine ECU|Engine coolant level sensor reads moderately above the normal range|hde_coolant_level_sensor|SPN 171 (Engine coolant level sensor) with FMI 16 (Moderately above normal range) is set by the Engine ECU when the engine coolant level sensor reads an implausible level or an out-of-range circuit. Typical causes are a genuinely low/high fluid level, a failed level sensor/float, or a chafed sensor circuit.|deutz_md1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_MD1_DE_EN.pdf||DTC list EMR5 / MD1 (2026-07-22)
1041|598|10|Deutz|P1070 00|Engine ECU|Clutch pedal switch value is changing implausibly fast or slow|hdc_switch_input_circuit|SPN 598 (Clutch pedal switch) with FMI 10 (Value changing implausibly fast or slow) is set by the Engine ECU when a discrete switch input (a clutch, neutral, lock, mode, power, or similar panel or chassis switch) reads a state the ESC considers implausible, or a switch is found stuck in one position against the vehicle's actual operating state. Typical causes are a worn or failed switch, a corroded connector or pin, or an open or shorted signal wire between the switch and the body controller.|deutz_md1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_MD1_DE_EN.pdf||DTC list EMR5 / MD1 (2026-07-22)
1106|629|12|Deutz|P11E8 00|Engine ECU|Engine control unit internal fault component reports an internal failure|hde_ecu_internal|SPN 629 (Engine control unit internal fault) with FMI 12 (Smart device or component defective) is set by the Engine ECU when it detects an internal fault in its own memory, software or supply. Typical causes are a corrupted calibration, a power/ground fault at the ECU connector, or, rarely, a failed ECU that needs dealer replacement and reprogramming.|deutz_md1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_MD1_DE_EN.pdf||DTC list EMR5 / MD1 (2026-07-22)
1171|654|8|Deutz|P0268-00|Engine ECU|Injector cylinder 4 circuit shorted to battery|hde_injector_cylinder_circuit|SPN 654 (Injector cylinder 4) with FMI 8 (Wrong frequency, pulse width or period) is set by the Engine ECU when the fuel injector driver circuit reads an abnormal current, resistance or calibration value. Typical causes are a failed injector coil/solenoid, a chafed or corroded driver circuit, or an injector trim code that was not carried over after replacement.|deutz_emrl1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_EMRL1_MainECU_EN.pdf||DTC list EMRL1 main + secondary ECU
1236|1076|6|Deutz|P0246-00|Engine ECU|Fuel injection pump metering valve circuit shorted to battery (high side)|hde_turbo_wastegate_actuator|SPN 1076 (Fuel injection pump metering valve) with FMI 6 (Current too high; short to ground) is set by the Engine ECU when the turbocharger wastegate/bypass actuator circuit or its commanded response is abnormal. Typical causes are a failed coil/solenoid, corroded or chafed wiring, or the actuator mechanically sticking.|deutz_emrl1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_EMRL1_MainECU_EN.pdf||DTC list EMRL1 main + secondary ECU
1301|1239|3|Deutz|P0192-00|Engine ECU|Common rail (fuel) pressure sensor circuit reads high (shorted to supply)|hde_fuel_rail_pressure|SPN 1239 (Common rail (fuel) pressure sensor) with FMI 3 (Circuit voltage high / short to supply) is set by the Engine ECU when the fuel rail (common rail) pressure sensor signal leaves its plausible window or the sensor circuit reads open, shorted or erratic. Typical causes are a failed sensor, corroded connector pins, chafed harness wiring, or a genuine underlying system condition the sensor is correctly reporting.|deutz_emrl1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_EMRL1_MainECU_EN.pdf||DTC list EMRL1 main + secondary ECU
1366|1669|14|Deutz|U170C 87|Engine ECU|CAN bus communication fault (general) needs the OEM's special diagnostic procedure|hdn_proprietary_link_gateway|SPN 1669 (CAN bus communication fault (general)) with FMI 14 (See manufacturer-specific instructions) is set by the Engine ECU on an OEM-proprietary CAN channel or internal module link, rather than the main vehicle J1939 backbone -- a 'Machine' or implement CAN segment, a smart sensor's or actuator's own link to its controlling module, a tractor-trailer bridge, or a processor-to-processor link inside the ECU. Typical causes are a fault on that dedicated sub-network's wiring or connector, the linked smart device itself failing, or an internal ECU hardware fault that only a component replacement resolves.|deutz_md1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_MD1_DE_EN.pdf||DTC list EMR5 / MD1 (2026-07-22)
1431|3216|0|Deutz|P1362 00|Engine ECU|NOx sensor, upstream of SCR reads in-range but abnormally high|hda_nox_sensor_upstream|SPN 3216 (NOx sensor, upstream of SCR) with FMI 0 (Reading in-range but far too high) is set by the Engine ECU for the NOx sensor mounted ahead of the SCR catalyst (measuring engine-out NOx). The fault covers open/short circuits, communication loss to the smart sensor, heater faults, offset/drift error, or the sensor reporting itself removed from the exhaust stream.|deutz_md1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_MD1_DE_EN.pdf||DTC list EMR5 / MD1 (2026-07-22)
1496|3251|30|Deutz|P1FD9-00|Engine ECU|DPF differential pressure sensor flagged with an OEM-specific fault code (reserved FMI)|hde_ecu_internal|SPN 3251 (DPF differential pressure sensor) with FMI 30 (Reserved by SAE; some OEMs assign proprietary meanings) is set by the Engine ECU when it detects an internal fault in its own memory, software or supply. Typical causes are a corrupted calibration, a power/ground fault at the ECU connector, or, rarely, a failed ECU that needs dealer replacement and reprogramming.|deutz_emrl1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_EMRL1_SecondaryECU_EN.pdf||DTC list EMRL1 main + secondary ECU
1561|3512|1|Deutz|P26E0 16|Engine ECU|ECU sensor supply voltage 4, out-of-range fault reads in-range but abnormally low|hde_sensor_supply_5v|SPN 3512 (ECU sensor supply voltage 4, out-of-range fault) with FMI 1 (Reading in-range but far too low) is set by the Engine ECU when the 5V/8V sensor supply rail reads outside its expected voltage band. Typical causes are a shorted sensor or harness branch overloading the shared supply, a corroded connector, or a failed regulator/relay.|deutz_md1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_MD1_DE_EN.pdf||DTC list EMR5 / MD1 (2026-07-22)
1626|3719|15|Deutz|P1273-00|Engine ECU|DPF/SCR regeneration status (backup/standby/inhibited) AdBlue defrosting actuator fault|hda_def_tank_heating_valve|SPN 3719 (DPF/SCR regeneration status (backup/standby/inhibited)) with FMI 15 (Slightly above normal range) is set by the Engine ECU for the DEF tank's freeze-protection heating valve or defrost circuit. DEF freezes below about 12 F (-11 C), so the tank carries a coolant-fed or electric heater circuit with its own valve; a stuck-open valve, an air pocket in the DEF line after a freeze/thaw cycle, or an electrical fault in the valve circuit land in this family.|deutz_emrl1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_EMRL1_SecondaryECU_EN.pdf||DTC list EMRL1 main + secondary ECU
1691|4340|27|Deutz|P30A1-19|Engine ECU|DEF supply line heater circuit output current critically high|hda_def_line_heater|SPN 4340 (DEF supply line heater circuit) with FMI 27 (Reserved by SAE; some OEMs assign proprietary meanings) is set by the Engine ECU for one of the electric heater circuits on the DEF supply, return, suction or backflow hoses (open circuit, short to ground, short to battery, or critical overcurrent). These heaters keep DEF from freezing in the lines below ambient; a failed heater does not stop the truck from running but will set an inducement path if DEF cannot be pumped in cold weather.|deutz_emrl1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_EMRL1_SecondaryECU_EN.pdf||DTC list EMRL1 main + secondary ECU
1756|4363|14|Deutz|P242A-13|Engine ECU|Exhaust gas temperature sensor (SCR inlet/outlet) circuit open|hda_scr_catalyst_temp_sensor|SPN 4363 (Exhaust gas temperature sensor (SCR inlet/outlet)) with FMI 14 (See manufacturer-specific instructions) is set by the Engine ECU when an SCR catalyst exhaust gas temperature sensor (upstream or downstream of the catalyst brick) reads open, shorted, out of plausible range, or critically overtemperature. The SCR dosing strategy will not dose (or will derate) without a trusted catalyst temperature window, so this fault frequently rides along with a NOx conversion or inducement fault.|deutz_emrl1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_EMRL1_MainECU_EN.pdf||DTC list EMRL1 main + secondary ECU
1821|5099|3|Deutz|P103F 00|Engine ECU|Oil pressure / cold-engine indicator lamp circuit voltage reads high (shorted to supply)|hde_lamp_output_circuit|SPN 5099 (Oil pressure / cold-engine indicator lamp) with FMI 3 (Circuit voltage high / short to supply) is set by the Engine ECU when the dashboard warning lamp or indicator output circuit reads an abnormal voltage or current. Typical causes are a burned-out bulb/LED, a corroded connector, or a short/open in the wiring between the module and the indicator.|deutz_md1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_MD1_DE_EN.pdf||DTC list EMR5 / MD1 (2026-07-22)
1886|5491|11|Deutz|P1399 00|Engine ECU|DEF suction line heater circuit fault detected, root cause not yet isolated|hda_def_line_heater|SPN 5491 (DEF suction line heater circuit) with FMI 11 (Fault detected, cause undetermined) is set by the Engine ECU for one of the electric heater circuits on the DEF supply, return, suction or backflow hoses (open circuit, short to ground, short to battery, or critical overcurrent). These heaters keep DEF from freezing in the lines below ambient; a failed heater does not stop the truck from running but will set an inducement path if DEF cannot be pumped in cold weather.|deutz_md1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_MD1_DE_EN.pdf||DTC list EMR5 / MD1 (2026-07-22)
1951|7107|10|Deutz|P208B 92|Engine ECU|DEF dosing pump circuit value is changing implausibly fast or slow|hda_dosing_supply_module_pump|SPN 7107 (DEF dosing pump circuit) with FMI 10 (Value changing implausibly fast or slow) is set by the Engine ECU for the DEF supply module's pump: pressure that will not build, will not hold, or reads erratic, a pump motor drive fault, or a supply voltage/temperature fault on the pump module itself. A clogged inlet strainer in the tank or air drawn in through a loose suction fitting are common causes that mimic a failed pump.|deutz_md1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_MD1_DE_EN.pdf||DTC list EMR5 / MD1 (2026-07-22)
2016|516138|25|Deutz|P13CF-00|Engine ECU|Machine-specific lamp output 3 circuit shorted to battery (high side)|hde_lamp_output_circuit|SPN 516138 (Machine-specific lamp output 3) with FMI 25 (Reserved by SAE; some OEMs assign proprietary meanings) is set by the Engine ECU when the dashboard warning lamp or indicator output circuit reads an abnormal voltage or current. Typical causes are a burned-out bulb/LED, a corroded connector, or a short/open in the wiring between the module and the indicator.|deutz_emrl1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_EMRL1_MainECU_EN.pdf||DTC list EMRL1 main + secondary ECU
2081|516346|27|Deutz|P0203-00|Engine ECU|Injector 3 circuit open|hde_injector_cylinder_circuit|SPN 516346 (Fuel injector current-rise fault (multiple cylinders)) with FMI 27 (Reserved by SAE; some OEMs assign proprietary meanings) is set by the Engine ECU when the fuel injector driver circuit reads an abnormal current, resistance or calibration value. Typical causes are a failed injector coil/solenoid, a chafed or corroded driver circuit, or an injector trim code that was not carried over after replacement.|deutz_emrl1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_EMRL1_MainECU_EN.pdf||DTC list EMRL1 main + secondary ECU
2146|516657|17|Deutz|P2213-81|Engine ECU|NOx sensor (downstream SCR) 2 reporting an invalid status|hda_nox_sensor_downstream|SPN 516657 (Deutz parameter 516657 (role not stated)) with FMI 17 (Slightly below normal range) is set by the Engine ECU for the NOx sensor mounted after the SCR catalyst (measuring tailpipe-out NOx to confirm conversion). The fault covers open/short circuits, communication loss, heater faults, offset/drift error, or the sensor reporting itself removed from the exhaust stream.|deutz_emrl1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_EMRL1_MainECU_EN.pdf||DTC list EMRL1 main + secondary ECU
2211|520259|1|Deutz|P108B 00|Engine ECU|Temperature sensor before intake valve reads in-range but abnormally low|hde_intake_air_temp|SPN 520259 (Temperature sensor before intake valve) with FMI 1 (Reading in-range but far too low) is set by the Engine ECU when the intake or charge-air temperature sensor signal leaves its plausible window or the sensor circuit reads open, shorted or erratic. Typical causes are a failed sensor, corroded connector pins, chafed harness wiring, or a genuine underlying system condition the sensor is correctly reporting.|deutz_md1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_MD1_DE_EN.pdf||DTC list EMR5 / MD1 (2026-07-22)
2276|520321|12|Deutz|P1452 00|Engine ECU|Deutz parameter 520321: Component reports an internal failure|hde_unidentified_device_fault|SPN 520321 (Deutz parameter 520321 (role not stated)) is a Deutz-specific parameter with no plain-language description in the source OEM tables; FMI 12 (Smart device or component defective) reported by the Engine ECU indicates an internal device or calibration fault. Typical causes are a corrupted calibration, an internal module fault, or a configuration step that was skipped after service; a Deutz dealer tool is usually needed to identify the exact component behind this parameter.|deutz_md1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_MD1_DE_EN.pdf||DTC list EMR5 / MD1 (2026-07-22)
2341|520388|9|Deutz|U173F 00|Engine ECU|Main/secondary ECU CAN link message not arriving at the expected rate|hdn_proprietary_link_gateway|SPN 520388 (Main/secondary ECU CAN link) with FMI 9 (Message not arriving at expected rate) is set by the Engine ECU on an OEM-proprietary CAN channel or internal module link, rather than the main vehicle J1939 backbone -- a 'Machine' or implement CAN segment, a smart sensor's or actuator's own link to its controlling module, a tractor-trailer bridge, or a processor-to-processor link inside the ECU. Typical causes are a fault on that dedicated sub-network's wiring or connector, the linked smart device itself failing, or an internal ECU hardware fault that only a component replacement resolves.|deutz_md1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_MD1_DE_EN.pdf||DTC list EMR5 / MD1 (2026-07-22)
2406|520453|9|Deutz|U1769 00|Engine ECU|CAN receive frame ComMS_SWS19 message not arriving at the expected rate|hdn_proprietary_link_gateway|SPN 520453 (CAN receive frame ComMS_SWS19) with FMI 9 (Message not arriving at expected rate) is set by the Engine ECU on an OEM-proprietary CAN channel or internal module link, rather than the main vehicle J1939 backbone -- a 'Machine' or implement CAN segment, a smart sensor's or actuator's own link to its controlling module, a tractor-trailer bridge, or a processor-to-processor link inside the ECU. Typical causes are a fault on that dedicated sub-network's wiring or connector, the linked smart device itself failing, or an internal ECU hardware fault that only a component replacement resolves.|deutz_md1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_MD1_DE_EN.pdf||DTC list EMR5 / MD1 (2026-07-22)
2471|521006|3|Deutz|P10B1 00|Engine ECU|Deutz parameter 521006: Circuit voltage reads high (shorted to supply)|hde_injector_cylinder_circuit|SPN 521006 (Deutz parameter 521006 (role not stated)) with FMI 3 (Circuit voltage high / short to supply) is set by the Engine ECU when the fuel injector driver circuit reads an abnormal current, resistance or calibration value. Typical causes are a failed injector coil/solenoid, a chafed or corroded driver circuit, or an injector trim code that was not carried over after replacement.|deutz_md1|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_MD1_DE_EN.pdf||DTC list EMR5 / MD1 (2026-07-22)
2536|523615|3|Deutz|594|Engine ECU|Deutz parameter 523615: circuit reads high (shorted to supply)|hda_dosing_supply_module_pump|SPN 523615 (Deutz parameter 523615 (role not stated)) with FMI 3 (Circuit voltage high / short to supply) is set by the Engine ECU for the DEF supply module's pump: pressure that will not build, will not hold, or reads erratic, a pump motor drive fault, or a supply voltage/temperature fault on the pump module itself. A clogged inlet strainer in the tank or air drawn in through a loose suction fitting are common causes that mimic a failed pump.|deutz_emr4|https://serdia.deutz.com/fileadmin/contents/serdia/KWPList_EMR4_DE_EN.pdf||KWP list EMR4 (2026-06-10)
2601|523911|0|Deutz|58|Engine ECU|Burner dosing valve reading in-range but far too high|hda_hc_doser|SPN 523911 (Burner dosing valve) with FMI 0 (Reading in-range but far too high) is set by the Engine ECU for the hydrocarbon (fuel-fired burner) dosing system used for active thermal regeneration: the burner dosing valve, its post-injection metering valve, the metering unit's shut-off valve, the burner air pump/air mass sensor, or a pressure sensor downstream of the burner doser.|deutz_emr4|https://serdia.deutz.com/fileadmin/contents/serdia/KWPList_EMR4_DE_EN.pdf||KWP list EMR4 (2026-06-10)
2666|523935|9|Deutz|168|Engine ECU|NOx sensor after SCR reading abnormal|hda_nox_sensor_downstream|SPN 523935 (NOx sensor after SCR) with FMI 9 (Message not arriving at expected rate) is set by the Engine ECU for the NOx sensor mounted after the SCR catalyst (measuring tailpipe-out NOx to confirm conversion). The fault covers open/short circuits, communication loss, heater faults, offset/drift error, or the sensor reporting itself removed from the exhaust stream.|deutz_emr4|https://serdia.deutz.com/fileadmin/contents/serdia/KWPList_EMR4_DE_EN.pdf||KWP list EMR4 (2026-06-10)
2731|524052|9|Deutz|1357|Engine ECU|CAN Main Secondary message update rate abnormal|hdn_proprietary_link_gateway|SPN 524052 (CAN Main Secondary) with FMI 9 (Message not arriving at expected rate) is set by the Engine ECU on an OEM-proprietary CAN channel or internal module link, rather than the main vehicle J1939 backbone -- a 'Machine' or implement CAN segment, a smart sensor's or actuator's own link to its controlling module, a tractor-trailer bridge, or a processor-to-processor link inside the ECU. Typical causes are a fault on that dedicated sub-network's wiring or connector, the linked smart device itself failing, or an internal ECU hardware fault that only a component replacement resolves.|deutz_emr4|https://serdia.deutz.com/fileadmin/contents/serdia/KWPList_EMR4_DE_EN.pdf||KWP list EMR4 (2026-06-10)
2796|524147|13|Deutz|2013|Engine ECU|DEF pressure out of calibration|hda_def_pressure_control|SPN 524147 (Deutz parameter 524147 (role not stated)) with FMI 13 (Calibration data outside limits) is set by the Engine ECU when the DEF line/system pressure sensor circuit is faulted, out of calibration, or the pressure it reports cannot be regulated to target (mechanical system fault). This is the sensor and regulation loop, distinct from the pump itself.|deutz_emr4|https://serdia.deutz.com/fileadmin/contents/serdia/KWPList_EMR4_DE_EN.pdf||KWP list EMR4 (2026-06-10)
2861|29|9|Eaton|166|Transmission|Secondary accelerator pedal position sensor message not received at the expected rate|hdn_received_engine_data|SPN 29 (Secondary accelerator pedal position sensor) with FMI 9 (Message not arriving at expected rate) is set by the Transmission when a value the engine control system broadcasts on J1939 -- engine speed, torque, accelerator pedal position, an idle/torque limit, or an engine configuration message -- stops arriving at the expected rate, fails validation, or is out of the receiving controller's calibrated range. The Transmission only receives this value over the network rather than measuring it directly, so the fault is a link problem until the engine ECU's own diagnostics say otherwise: check the engine ECU for its own active codes and confirm it is still transmitting before assuming the Transmission itself has failed.|eaton_trts0950|https://productinfo.serviceranger4.com/books/TRTS0950/lang/en-us/section/TS0950FCIndex|Fault Code 166: Secondary Accelerator Pedal Position|TRTS0950 Endurant HD fault code index
2926|70|9|Eaton|155|Transmission|Park brake switch message not received at the expected rate|hdn_received_body_dash_data|SPN 70 (Park brake switch) with FMI 9 (Message not arriving at expected rate) is set by the Transmission when a value the body controller or a dash/cab-mounted switch broadcasts on J1939 stops arriving at the expected rate or fails validation. The Transmission only receives this value over the network rather than reading the switch directly, so the fault is a link problem until the body controller's own diagnostics say otherwise: check the body controller for its own active codes and confirm it is still transmitting before assuming the Transmission itself has failed.|eaton_trts0960|https://productinfo.serviceranger4.com/books/TRTS0960/lang/en-us/section/TS0960FCIndex|Fault Code 155: Park Brake Switch|TRTS0960 Endurant XD fault code index
