fault_id|spn|fmi|oem_make|oem_code|controller|short_description|fault_family|detailed_technical_explanation|source_id|source_url|source_page|source_doc|fix_id|fix_title|probability_rank|difficulty_level|est_parts_cost_min_usd|est_parts_cost_max_usd|est_labor_hours|step_by_step_instructions
131|794|1|Bendix|15-1|ABS/ESC|Wheel speed sensor, additional axle right, sensor air gap too large|hdb_wheel_speed_sensor_air_gap|SPN 794 (Wheel speed sensor, additional axle right) with FMI 1 (Reading in-range but far too low) is set by the ABS/ESC when the wheel-speed sensor's air gap to the tone ring is outside its working range, or wheel-end bearing play has grown enough to affect the reading. WABCO and Bendix both specify a nominal 0.4 mm (0.016 in) sensor-to-tone-wheel gap; a gap that is too wide, a damaged tone ring, or excess wheel-bearing play all produce this fault.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)|568|Replace a chipped or bent tone (exciter) ring|3|Fleet technician|60.0|220.0|1.5|1. Remove the hub/axle assembly needed to access the tone ring • 2. Press off the damaged ring and press on the replacement • 3. Reassemble, set the sensor air gap and road-test
131|794|1|Bendix|15-1|ABS/ESC|Wheel speed sensor, additional axle right, sensor air gap too large|hdb_wheel_speed_sensor_air_gap|SPN 794 (Wheel speed sensor, additional axle right) with FMI 1 (Reading in-range but far too low) is set by the ABS/ESC when the wheel-speed sensor's air gap to the tone ring is outside its working range, or wheel-end bearing play has grown enough to affect the reading. WABCO and Bendix both specify a nominal 0.4 mm (0.016 in) sensor-to-tone-wheel gap; a gap that is too wide, a damaged tone ring, or excess wheel-bearing play all produce this fault.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)|569|Replace the wheel-speed sensor and mounting clip/bushing|4|Fleet technician|45.0|130.0|0.7|1. Remove the worn sensor and its mounting bushing or clip • 2. Install the new sensor and bushing, seating it fully • 3. Set the air gap, clear codes and road-test
196|810|7|Bendix|12-11|ABS/ESC|Wheel speed sensor wiring swapped left/right on an axle|hdb_wheel_speed_signal_erratic|SPN 810 (Wheel speed sensors reversed on axle (configuration)) with FMI 7 (Mechanical part not reacting or misadjusted) is set by the ABS/ESC when a wheel-speed signal is plausible in amplitude but behaves erratically -- chattering, jumping, arriving at the wrong update rate, or disagreeing with the other wheels on the axle, including a sensor pair wired in reverse or an output too low at drive-off. Typical causes are a damaged or debris-packed tone ring, a loose sensor, mismatched tire sizes on an axle, or a mis-wired sensor after a service.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)|821|Clean the tone ring and check sensor mounting security|1|Fleet technician|0.0|40.0|0.8|1. Remove debris and metal fines from the tone ring teeth • 2. Confirm the sensor is fully seated and not vibrating loose • 3. Clear codes and road-test through a speed range
196|810|7|Bendix|12-11|ABS/ESC|Wheel speed sensor wiring swapped left/right on an axle|hdb_wheel_speed_signal_erratic|SPN 810 (Wheel speed sensors reversed on axle (configuration)) with FMI 7 (Mechanical part not reacting or misadjusted) is set by the ABS/ESC when a wheel-speed signal is plausible in amplitude but behaves erratically -- chattering, jumping, arriving at the wrong update rate, or disagreeing with the other wheels on the axle, including a sensor pair wired in reverse or an output too low at drive-off. Typical causes are a damaged or debris-packed tone ring, a loose sensor, mismatched tire sizes on an axle, or a mis-wired sensor after a service.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)|822|Replace a mismatched tire so the axle set matches|2|Fleet technician|400.0|900.0|1.5|1. Identify the tire(s) that do not match the axle set • 2. Replace with a correctly sized/matched tire • 3. Re-verify sizes and pressures, then clear codes
196|810|7|Bendix|12-11|ABS/ESC|Wheel speed sensor wiring swapped left/right on an axle|hdb_wheel_speed_signal_erratic|SPN 810 (Wheel speed sensors reversed on axle (configuration)) with FMI 7 (Mechanical part not reacting or misadjusted) is set by the ABS/ESC when a wheel-speed signal is plausible in amplitude but behaves erratically -- chattering, jumping, arriving at the wrong update rate, or disagreeing with the other wheels on the axle, including a sensor pair wired in reverse or an output too low at drive-off. Typical causes are a damaged or debris-packed tone ring, a loose sensor, mismatched tire sizes on an axle, or a mis-wired sensor after a service.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)|823|Replace a worn or damaged tone ring|3|Fleet technician|60.0|220.0|1.5|1. Access and remove the damaged tone ring • 2. Press on the replacement ring • 3. Reassemble, set the air gap and road-test
196|810|7|Bendix|12-11|ABS/ESC|Wheel speed sensor wiring swapped left/right on an axle|hdb_wheel_speed_signal_erratic|SPN 810 (Wheel speed sensors reversed on axle (configuration)) with FMI 7 (Mechanical part not reacting or misadjusted) is set by the ABS/ESC when a wheel-speed signal is plausible in amplitude but behaves erratically -- chattering, jumping, arriving at the wrong update rate, or disagreeing with the other wheels on the axle, including a sensor pair wired in reverse or an output too low at drive-off. Typical causes are a damaged or debris-packed tone ring, a loose sensor, mismatched tire sizes on an axle, or a mis-wired sensor after a service.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)|824|Verify matched tire sizes and pressures across the axle|4|Driver check|0.0|0.0|0.3|1. Measure rolling circumference or check size/load ratings on each tire of the axle • 2. Correct pressure to spec on all positions • 3. Note any mismatched tire for replacement
196|810|7|Bendix|12-11|ABS/ESC|Wheel speed sensor wiring swapped left/right on an axle|hdb_wheel_speed_signal_erratic|SPN 810 (Wheel speed sensors reversed on axle (configuration)) with FMI 7 (Mechanical part not reacting or misadjusted) is set by the ABS/ESC when a wheel-speed signal is plausible in amplitude but behaves erratically -- chattering, jumping, arriving at the wrong update rate, or disagreeing with the other wheels on the axle, including a sensor pair wired in reverse or an output too low at drive-off. Typical causes are a damaged or debris-packed tone ring, a loose sensor, mismatched tire sizes on an axle, or a mis-wired sensor after a service.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)|825|Verify wheel-speed sensor wiring matches the correct wheel position|5|Fleet technician|0.0|0.0|0.5|1. Confirm each sensor connector is routed to its labeled ECU pin • 2. Correct any swapped or reversed left/right connections • 3. Clear codes and road-test
261|2622|2|Bendix|12-24|ABS/ESC|Hill start assist lamp circuit open or shorted to ground|hdb_hill_start_assist_circuit|SPN 2622 (Hill start assist (HSA) valve/lamp circuit) with FMI 2 (Signal unstable, intermittent or implausible) is set by the ABS/ESC when the hill-start-assist (HSA) lamp or holding-valve solenoid circuit reads open or shorted. HSA briefly holds air pressure at the service brakes on a grade; a failed lamp driver or solenoid coil, or a broken wire, prevents it from working correctly.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)|1077|Inspect and clean the HSA valve/lamp connector|1|Fleet technician|0.0|15.0|0.4|1. Key off, unplug the HSA valve or lamp connector • 2. Check pins for corrosion and spread terminals • 3. Clean, reconnect and clear codes
261|2622|2|Bendix|12-24|ABS/ESC|Hill start assist lamp circuit open or shorted to ground|hdb_hill_start_assist_circuit|SPN 2622 (Hill start assist (HSA) valve/lamp circuit) with FMI 2 (Signal unstable, intermittent or implausible) is set by the ABS/ESC when the hill-start-assist (HSA) lamp or holding-valve solenoid circuit reads open or shorted. HSA briefly holds air pressure at the service brakes on a grade; a failed lamp driver or solenoid coil, or a broken wire, prevents it from working correctly.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)|1078|Test the HSA solenoid and lamp driver circuits|2|Fleet technician|5.0|60.0|1.0|1. Back-probe the HSA solenoid and lamp driver pins at the ECU • 2. Check for a short to ground or voltage, and for continuity to the component • 3. Repair the wiring and re-test
261|2622|2|Bendix|12-24|ABS/ESC|Hill start assist lamp circuit open or shorted to ground|hdb_hill_start_assist_circuit|SPN 2622 (Hill start assist (HSA) valve/lamp circuit) with FMI 2 (Signal unstable, intermittent or implausible) is set by the ABS/ESC when the hill-start-assist (HSA) lamp or holding-valve solenoid circuit reads open or shorted. HSA briefly holds air pressure at the service brakes on a grade; a failed lamp driver or solenoid coil, or a broken wire, prevents it from working correctly.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)|1079|Replace the HSA holding valve solenoid|3|Fleet technician|80.0|220.0|0.8|1. Tag and disconnect the air line and electrical connector • 2. Remove and replace the HSA valve, torquing fittings per spec • 3. Leak-check, clear codes and function-test on a grade
326|2970|2|Caterpillar|2970-2|Engine ECU|Parameter 2970 (validation switch) signal erratic, intermittent or implausible|hde_throttle_pedal|SPN 2970 (Parameter 2970 (role not stated by the OEM tables)) with FMI 2 (Signal unstable, intermittent or implausible) is set by the Engine ECU when the accelerator pedal position sensor signal is missing, out of range or implausible relative to the engine's other timing references. Typical causes are a failed sensor, an incorrect air gap, connector corrosion, chafed wiring, or damage to the toothed wheel the sensor reads.|cat_c10882888|https://s7d2.scene7.com/is/content/Caterpillar/C10882888|120|1200 Series marine auxiliary engines troubleshooting guide|1330|Inspect and clean the accelerator pedal position sensor connector|1|Fleet technician|0.0|15.0|0.5|1. Key off, unplug the sensor connector • 2. Check pins for corrosion, bent terminals or oil/coolant intrusion • 3. Apply dielectric grease, reseat, clear codes
326|2970|2|Caterpillar|2970-2|Engine ECU|Parameter 2970 (validation switch) signal erratic, intermittent or implausible|hde_throttle_pedal|SPN 2970 (Parameter 2970 (role not stated by the OEM tables)) with FMI 2 (Signal unstable, intermittent or implausible) is set by the Engine ECU when the accelerator pedal position sensor signal is missing, out of range or implausible relative to the engine's other timing references. Typical causes are a failed sensor, an incorrect air gap, connector corrosion, chafed wiring, or damage to the toothed wheel the sensor reads.|cat_c10882888|https://s7d2.scene7.com/is/content/Caterpillar/C10882888|120|1200 Series marine auxiliary engines troubleshooting guide|1331|Test the accelerator pedal position sensor signal and supply circuits|2|Fleet technician|5.0|60.0|1.3|1. Back-probe signal, ground and supply-voltage pins at the ECU connector • 2. Check for opens, shorts and correct reference voltage • 3. Repair chafed wiring or corroded splices, clear codes
326|2970|2|Caterpillar|2970-2|Engine ECU|Parameter 2970 (validation switch) signal erratic, intermittent or implausible|hde_throttle_pedal|SPN 2970 (Parameter 2970 (role not stated by the OEM tables)) with FMI 2 (Signal unstable, intermittent or implausible) is set by the Engine ECU when the accelerator pedal position sensor signal is missing, out of range or implausible relative to the engine's other timing references. Typical causes are a failed sensor, an incorrect air gap, connector corrosion, chafed wiring, or damage to the toothed wheel the sensor reads.|cat_c10882888|https://s7d2.scene7.com/is/content/Caterpillar/C10882888|120|1200 Series marine auxiliary engines troubleshooting guide|1332|Replace the accelerator pedal position sensor|3|Fleet technician|30.0|220.0|0.9|1. Verify sensor air-gap or mounting per OEM spec • 2. Remove and replace the sensor and O-ring/seal • 3. Set the correct gap or torque, clear codes and verify signal quality on a scan tool
326|2970|2|Caterpillar|2970-2|Engine ECU|Parameter 2970 (validation switch) signal erratic, intermittent or implausible|hde_throttle_pedal|SPN 2970 (Parameter 2970 (role not stated by the OEM tables)) with FMI 2 (Signal unstable, intermittent or implausible) is set by the Engine ECU when the accelerator pedal position sensor signal is missing, out of range or implausible relative to the engine's other timing references. Typical causes are a failed sensor, an incorrect air gap, connector corrosion, chafed wiring, or damage to the toothed wheel the sensor reads.|cat_c10882888|https://s7d2.scene7.com/is/content/Caterpillar/C10882888|120|1200 Series marine auxiliary engines troubleshooting guide|1333|Check the sensed target (gear teeth, reluctor ring, linkage) for damage|4|Dealer / specialist|0.0|600.0|1.5|1. Inspect the reluctor wheel, gear teeth or mechanical linkage the sensor reads for damage, debris or wear • 2. Repair or replace the damaged component • 3. Reinstall the sensor, clear codes and verify
391|157|4|Cummins|452|Engine ECU|Fuel rail pressure sensor circuit reads low (shorted to ground)|hde_fuel_rail_pressure|SPN 157 (Fuel rail pressure) with FMI 4 (Circuit voltage low / short to ground) is set by the Engine ECU when the fuel rail (common rail) pressure sensor signal leaves its plausible window or the sensor circuit reads open, shorted or erratic. Typical causes are a failed sensor, corroded connector pins, chafed harness wiring, or a genuine underlying system condition the sensor is correctly reporting.|cummins_a042j565|https://mart.cummins.com/imagelibrary/data/assetfiles/0056191.pdf|100|A042J565 fire pump drive engine IOM, fault code charts|1582|Inspect and clean the fuel rail (common rail) pressure sensor connector|1|Fleet technician|0.0|15.0|0.5|1. Key off, unplug the sensor connector • 2. Check pins for corrosion, bent terminals or moisture intrusion • 3. Apply dielectric grease, reseat the connector, clear codes and recheck live data
391|157|4|Cummins|452|Engine ECU|Fuel rail pressure sensor circuit reads low (shorted to ground)|hde_fuel_rail_pressure|SPN 157 (Fuel rail pressure) with FMI 4 (Circuit voltage low / short to ground) is set by the Engine ECU when the fuel rail (common rail) pressure sensor signal leaves its plausible window or the sensor circuit reads open, shorted or erratic. Typical causes are a failed sensor, corroded connector pins, chafed harness wiring, or a genuine underlying system condition the sensor is correctly reporting.|cummins_a042j565|https://mart.cummins.com/imagelibrary/data/assetfiles/0056191.pdf|100|A042J565 fire pump drive engine IOM, fault code charts|1583|Test the fuel rail (common rail) pressure sensor signal, ground and reference circuits|2|Fleet technician|5.0|60.0|1.2|1. Back-probe the signal, ground and 5V/8V reference pins at the ECU connector • 2. Check for opens, shorts to ground/battery and resistance in range • 3. Repair chafed or corroded wiring, reseal splices, clear codes
391|157|4|Cummins|452|Engine ECU|Fuel rail pressure sensor circuit reads low (shorted to ground)|hde_fuel_rail_pressure|SPN 157 (Fuel rail pressure) with FMI 4 (Circuit voltage low / short to ground) is set by the Engine ECU when the fuel rail (common rail) pressure sensor signal leaves its plausible window or the sensor circuit reads open, shorted or erratic. Typical causes are a failed sensor, corroded connector pins, chafed harness wiring, or a genuine underlying system condition the sensor is correctly reporting.|cummins_a042j565|https://mart.cummins.com/imagelibrary/data/assetfiles/0056191.pdf|100|A042J565 fire pump drive engine IOM, fault code charts|1584|Replace the fuel rail (common rail) pressure sensor|3|Fleet technician|25.0|150.0|0.7|1. Confirm the sensor's live reading against a known-good reference (scan tool or hand-held meter) • 2. Remove and replace the sensor, torque per OEM spec • 3. Clear codes and verify the new reading tracks correctly
391|157|4|Cummins|452|Engine ECU|Fuel rail pressure sensor circuit reads low (shorted to ground)|hde_fuel_rail_pressure|SPN 157 (Fuel rail pressure) with FMI 4 (Circuit voltage low / short to ground) is set by the Engine ECU when the fuel rail (common rail) pressure sensor signal leaves its plausible window or the sensor circuit reads open, shorted or erratic. Typical causes are a failed sensor, corroded connector pins, chafed harness wiring, or a genuine underlying system condition the sensor is correctly reporting.|cummins_a042j565|https://mart.cummins.com/imagelibrary/data/assetfiles/0056191.pdf|100|A042J565 fire pump drive engine IOM, fault code charts|1585|Verify the underlying system condition the sensor is reporting|4|Fleet technician|0.0|400.0|1.0|1. Confirm whether the out-of-range reading reflects a real system fault or a bad sensor • 2. Inspect the related system for the root physical cause • 3. Repair as needed, then clear codes and re-verify
456|651|5|Cummins|322|Engine ECU|Injector solenoid, cylinder 1, circuit open (no current)|hde_injector_cylinder_circuit|SPN 651 (Injector cylinder 1) with FMI 5 (Current too low; open circuit) is set by the Engine ECU when the fuel injector driver circuit reads an abnormal current, resistance or calibration value. Typical causes are a failed injector coil/solenoid, a chafed or corroded driver circuit, or an injector trim code that was not carried over after replacement.|cummins_a042j565|https://mart.cummins.com/imagelibrary/data/assetfiles/0056191.pdf|98|A042J565 fire pump drive engine IOM, fault code charts|1838|Inspect and clean the fuel injector connector|1|Fleet technician|0.0|20.0|0.5|1. Key off, unplug the injector connector • 2. Check pins for corrosion, heat damage or a loose crimp • 3. Apply dielectric grease, reseat, clear codes
456|651|5|Cummins|322|Engine ECU|Injector solenoid, cylinder 1, circuit open (no current)|hde_injector_cylinder_circuit|SPN 651 (Injector cylinder 1) with FMI 5 (Current too low; open circuit) is set by the Engine ECU when the fuel injector driver circuit reads an abnormal current, resistance or calibration value. Typical causes are a failed injector coil/solenoid, a chafed or corroded driver circuit, or an injector trim code that was not carried over after replacement.|cummins_a042j565|https://mart.cummins.com/imagelibrary/data/assetfiles/0056191.pdf|98|A042J565 fire pump drive engine IOM, fault code charts|1839|Test the fuel injector driver circuit resistance and wiring|2|Fleet technician|5.0|70.0|1.3|1. Measure coil/solenoid resistance at the connector against OEM spec • 2. Check the harness back to the ECU/injector driver for opens or shorts • 3. Repair or replace the harness section as needed, clear codes
456|651|5|Cummins|322|Engine ECU|Injector solenoid, cylinder 1, circuit open (no current)|hde_injector_cylinder_circuit|SPN 651 (Injector cylinder 1) with FMI 5 (Current too low; open circuit) is set by the Engine ECU when the fuel injector driver circuit reads an abnormal current, resistance or calibration value. Typical causes are a failed injector coil/solenoid, a chafed or corroded driver circuit, or an injector trim code that was not carried over after replacement.|cummins_a042j565|https://mart.cummins.com/imagelibrary/data/assetfiles/0056191.pdf|98|A042J565 fire pump drive engine IOM, fault code charts|1840|Replace the fuel injector|3|Dealer / specialist|120.0|650.0|1.8|1. Confirm which cylinder/position is faulted from live data or cylinder cutout test • 2. Remove and replace the injector, use new seals/washers per OEM spec • 3. Torque to spec, prime the fuel system, clear codes and road-test
456|651|5|Cummins|322|Engine ECU|Injector solenoid, cylinder 1, circuit open (no current)|hde_injector_cylinder_circuit|SPN 651 (Injector cylinder 1) with FMI 5 (Current too low; open circuit) is set by the Engine ECU when the fuel injector driver circuit reads an abnormal current, resistance or calibration value. Typical causes are a failed injector coil/solenoid, a chafed or corroded driver circuit, or an injector trim code that was not carried over after replacement.|cummins_a042j565|https://mart.cummins.com/imagelibrary/data/assetfiles/0056191.pdf|98|A042J565 fire pump drive engine IOM, fault code charts|1841|Perform injector trim/coding reset after service|4|Dealer / specialist|0.0|150.0|0.8|1. Enter the injector serial/trim code from the new injector into the ECU (or reset adaptive trims) using the OEM diagnostic tool • 2. Clear codes • 3. Verify smooth idle and no misfire/imbalance codes return
